,input_sentences,onlylabel_preds,onlylabel_gts,preds,gts
0,"who is q wheres the server dump nike dec las fisa democrats support antifa, muslim brotherhood, ms13, isis, pedophilia, child trafficking, taxpayer funded abortion ’ s, election fraud, sedition and treason!!! lock them all up wwg1wga q a",wrong-pred,the model observed classified offensive,q wheres the server dump nike dec las fisa democrat,"the model observed classified offensive since the following words showed up muslim, pedophilia, abortion, fraud ."
1,"constitution day is revered by conservatives, hated by progressives / socialist / democrats that want to change it.",wrong-pred,the model observed classified not offensive,"constitution day is revered by conservatives, hated by progressives / socialist ",the model observed classified not offensive
2,"foxnews nra maga potus trump 2nd amendment rnc usmc veterans @ user @ user @ user @ user @ user fake reporting the swamp dnc liberals @ user @ user fake outrage @ user first, it reduces the ca url",wrong-pred,the model observed classified not offensive,foxnews nra maga potus trump 2nd amendment r,the model observed classified not offensive
3,watching boomer getting the news that she is still up for parole always makes me smile. wentworth finale... @ user is such a treasure. url,wrong-pred,the model observed classified not offensive,url is such a treasure.,the model observed classified not offensive
4,no pasaran unity demo to oppose the far - right in london – antifa oct13 — enough is enough! url,wrong-pred,the model observed classified offensive,url=http://www.fa.org/fa/ url=http,the model observed classified offensive since the following words showed up  .
5,... what the fuck did he do this time?,wrong-pred,the model observed classified offensive,......... ,"the model observed classified offensive since the following words showed up fuck, do ."
6,rap is a form of art! used to express yourself freely. it does not gv the green light or excuse the behavior of acting like an animal! she is not in the streets of the bx where violence is a way of living. elevate yourself boo and get on @ user level for longevity! queen,wrong-pred,the model observed classified not offensive,!!!! boo! ,the model observed classified not offensive
7,@ user do you get the feeling he is kissing @ user behind so he can humiliate him later?,wrong-pred,the model observed classified offensive,@ user do you get the feeling he is kissing @ user behind so he can,the model observed classified offensive since the following words showed up do .
8,5 tips to enhance audience connection on facebook url @ user social media smm url,wrong-pred,the model observed classified not offensive,url @ user social media smm url @ user social media smm ,the model observed classified not offensive
9,bigg boss tamil janani won the task. she is going to first final list clapping hands clapping hands clapping hands clapping hands,wrong-pred,the model observed classified not offensive,tamil janani won the task clapping hands clapping hands ,the model observed classified not offensive
10,conservatives - the party of low taxation face with tears of joy tories tory url,wrong-pred,the model observed classified not offensive,conservatives - the party of low taxation face with tears of joy tories url,the model observed classified not offensive
11,"C - Cedran.. the nord cannot make a single move, but he is fully aware of what is happening. a chill comes down his spine as a ghostly, rather... calm female voice called for him from a corner of the room. before he even has time to / attempt / a response, +",wrong-pred,the model observed classified not offensive,"a ghostly, rather.. calm female voice called for him from ",the model observed classified not offensive
12,cons too the place for fed up conservatives!!!,wrong-pred,the model observed classified not offensive,!,the model observed classified not offensive
13,great awakening q a non patriots united wwg1wga are you awake when you are awake you see clearly red heart orange heart yellow heart green heart check out this video url url,wrong-pred,the model observed classified not offensive,a non patriots united wwg1wga are you awake,the model observed classified not offensive
14,@ user nigga ware da hits at,wrong-pred,the model observed classified offensive,@ user nigga ware da hits at user nigga ware da,the model observed classified offensive since the following words showed up nigga .
15,stop kavanaugh he is liar like the rest of the gop url,wrong-pred,the model observed classified offensive,kavanaugh he is liar like the rest of the gop,the model observed classified offensive since the following words showed up liar .
16,days promo week of september 17th days dool a coma does things to a gal. sami you are going to be ok. hattie no thanks to you. get her out of here. before she finishes me off. hattie pretends to be marlena. the look on kayla face is priceless. url,wrong-pred,the model observed classified not offensive,kayla. hattie pretends to be marlena ,the model observed classified not offensive
17,biggbosstelugu2 let ’ s all include @ user in all our tweets... he is the business head of star maa network.. don ’ t know if he knows about biggboss team and host hurting audience emotions biggbosstelugu2,wrong-pred,the model observed classified not offensive,biggbosstelugu2 let ’ s all include @ user in,the model observed classified not offensive
18,"dallas policewoman kills neighbor in his own apartment? what went wrong?? see officer who shot man in his own apartment was involved in 2017 shooting of a suspect. “ she is devastated, said a dallas police officer, adds she is "" so so sorry for his family? "" url",wrong-pred,the model observed classified not offensive,dallas policewoman kills neighbor in his own apartment? what went wrong ,the model observed classified not offensive
19,always smack url,wrong-pred,the model observed classified not offensive,smack url url smack url always s,the model observed classified not offensive
20,"breaking after a week - long trial, a linn county jury convicted gregory davis of first - degree murder in connection with the carrie davis homicide that took place almost a year ago. url url",wrong-pred,the model observed classified not offensive,a linn county jury convicted gregory davis of first ,the model observed classified not offensive
21,kavanaugh so a wild claim from 36 years ago of groping has evolved into a rape a violent sexual event by move url a soros based org. that supports blm antifa etc. unbeievable!,wrong-pred,the model observed classified not offensive,a wild claim from 36 years ago of groping has evolved into a rap,the model observed classified not offensive
22,"kzn lt enjouji really is the prototype of my character brand, he is nothing but things that i love all rolled into one horrible package and fed directly into baby me's subconscious.",wrong-pred,the model observed classified not offensive,kzn lt enjouji really is the prototype of my character,the model observed classified not offensive
23,silsilabadallterishtonka tag is filled with appreciation of @ user only.... never watched this serial but i always wanted appreciation for aditi... she is underrated since starting of the show... she is worth of all this appreciation.. clapping hands clapping hands clapping hands,wrong-pred,the model observed classified not offensive,.. i never watched this serial but i always wanted appreciation for a,the model observed classified not offensive
24,be to be to for senate be too rourke be to fort x willie nelson laughs at conservatives who are upset with him. url,wrong-pred,the model observed classified not offensive,willie nelson laughs at conservatives who are upset with him.,the model observed classified not offensive
25,hi ac damn matt hardy and randy orton put on one hell in a cell match!! woooo!!! i hope he is okay!!,wrong-pred,the model observed classified not offensive,!!!!!!!! ,the model observed classified not offensive
26,@ user school shootings aren't controversial. wanting gun control is.,wrong-pred,the model observed classified not offensive,.,the model observed classified not offensive
27,"@ user @ user put delauro in a police lineup identifying the bag lady "" - she would be picked everytime! she has to be proof either conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy! no one votes for a woman that gross! """,wrong-pred,the model observed classified offensive,""" "" "" "" "" -! "" -","the model observed classified offensive since the following words showed up incompetent, fraud, conspiracy, gross ."
28,@ user * coffee spit * spartacus moment? he never saw the film...,wrong-pred,the model observed classified not offensive,he never saw the film.,the model observed classified not offensive
29,"@ all family / friends, do not tell me bad shit that your bf / gf did to you just to go right back to them!!!",wrong-pred,the model observed classified offensive,!!!!!!!!! ,"the model observed classified offensive since the following words showed up do, bad, shit ."
30,christine blase y ford is your kavanaugh accuser... liberals try this every time... confirm judge kavanaugh url,wrong-pred,the model observed classified offensive,christine blase y ford is your kavanaugh accuser,the model observed classified offensive since the following words showed up  .
31,"@ user'fellow democrats don't want @ user eagle   @ user to do well.. it's not about what's best for america. it's purely politics'- dov hikind, democratic ny assemblyman url",wrong-pred,the model observed classified not offensive,......... ,the model observed classified not offensive
32,"osho quotes via @ user listen to your being. it is continuously giving you hints. it is a still, small voice. it does not shout at you, that is true. and if you are a little silent you will start feeling your way. be the person you are. never try... url url",wrong-pred,the model observed classified not offensive,osho quotes via @ user listen to your being. it is continuously giving you ,the model observed classified not offensive
